Date,Code
2/11/2020 3:20:29 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 3:20:29 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 3:19:49 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:19:38 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 3:19:09 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:19:09 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:19:02 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:19:02 PM,Alarm 5.11 UNLOADCONV TOPDRIVER I SCREW NOT FED
2/11/2020 3:18:54 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:18:54 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:18:06 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:18:06 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:08:18 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:05:54 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:04:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:03:46 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:02:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:02:17 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:01:07 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 3:01:07 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 3:00:21 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:59:58 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 3:19:49 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:19:38 PM,Alarm 2.21 LIFT CYCLE PAN NOT CLEAR FAD
2/11/2020 3:19:36 PM,Alarm 5.12 UNLOADCOMI TOPDRIVER2 SCREW NOT FEL)
2/11/2020 3:19:09 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:19:02 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:19:02 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:18:54 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:18:54 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:18:06 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 3:18:06 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 3:08:18 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:05:54 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:04:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:03:46 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:02:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:02:17 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:01:07 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 3:01:07 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 3:00:21 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:59:58 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 2:14:46 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT aide
2/11/2020 1:51:11 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 1:50:55 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 1:28:51 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 1:27:53 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 1:13:45 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/11/2020 1:13:45 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/11/2020 12:07:53 PM,Alarm 1.2 FENCE SAFETY NOT OK
